SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SOUTHWEST, BE, 10-Jul-2019, 23.30, 23.00, 23.00, 23.00, 23.00, 23.00, 23.00, 7, 0.00, 2, -, -
SPAL, EQ, 10-Jul-2019, 277.80, 273.45, 287.20, 273.00, 286.00, 283.00, 280.42, 1942, 5.45, 86, 1233, 63.49
SPARC, EQ, 10-Jul-2019, 118.65, 120.55, 123.20, 117.80, 120.10, 120.60, 121.14, 1338827, 1621.81, 16134, 580459, 43.36
SPCENET, BE, 10-Jul-2019, 1.20, 1.15, 1.25, 1.15, 1.15, 1.15, 1.19, 3000, 0.04, 8, -, -
SPECIALITY, EQ, 10-Jul-2019, 75.90, 76.20, 78.20, 73.60, 73.70, 74.50, 76.12, 8802, 6.70, 278, 5429, 61.68
SPENCERS, EQ, 10-Jul-2019, 89.30, 89.20, 90.00, 85.50, 85.65, 85.75, 86.77, 98270, 85.27, 1602, 80042, 81.45
SPENTEX, BE, 10-Jul-2019, 0.80, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 14662, 0.11, 20, -, -
SPIC, EQ, 10-Jul-2019, 21.55, 20.80, 21.50, 20.80, 21.25, 21.40, 21.34, 11190, 2.39, 88, 9798, 87.56
SPICEMOBI, BE, 10-Jul-2019, 8.80, 9.00, 9.00, 8.50, 8.50, 8.50, 8.54, 673, 0.06, 4, -, -
SPLIL, EQ, 10-Jul-2019, 40.20, 41.50, 41.85, 39.20, 39.25, 39.70, 40.04, 20191, 8.08, 274, 13256, 65.65
SPMLINFRA, EQ, 10-Jul-2019, 17.40, 17.30, 17.60, 15.70, 15.75, 15.95, 16.36, 34814, 5.70, 200, 26128, 75.05
SPTL, EQ, 10-Jul-2019, 6.30, 6.10, 6.60, 6.05, 6.30, 6.25, 6.44, 1750691, 112.79, 2717, 747460, 42.70
SPYL, BE, 10-Jul-2019, 0.20, 0.20, 0.25, 0.20, 0.25, 0.25, 0.24, 921886, 2.26, 34, -, -
SREEL, EQ, 10-Jul-2019, 178.75, 177.05, 180.00, 172.15, 174.00, 173.05, 175.83, 5886, 10.35, 294, 4818, 81.86
