SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 10-Jul-2019, 36.55, 37.35, 37.90, 34.20, 35.80, 35.95, 36.32, 55438, 20.13, 511, 29024, 52.35
21STCENMGM, EQ, 10-Jul-2019, 17.60, 17.25, 17.25, 17.25, 17.25, 17.25, 17.25, 35, 0.01, 7, 35, 100.00
3IINFOTECH, EQ, 10-Jul-2019, 3.25, 3.25, 3.45, 3.25, 3.25, 3.25, 3.33, 1445962, 48.21, 445, 408740, 28.27
3MINDIA, EQ, 10-Jul-2019, 21848.55, 22106.40, 22113.90, 21851.55, 21921.00, 21985.30, 21970.48, 701, 154.01, 371, 375, 53.50
3PLAND, EQ, 10-Jul-2019, 8.30, 8.30, 8.30, 7.90, 8.25, 8.25, 8.23, 612, 0.05, 16, 600, 98.04
5PAISA, EQ, 10-Jul-2019, 222.20, 228.90, 228.90, 216.60, 219.30, 219.35, 220.10, 3057, 6.73, 178, 1728, 56.53
63MOONS, EQ, 10-Jul-2019, 97.10, 99.00, 101.95, 95.00, 101.95, 101.85, 101.33, 100177, 101.51, 1075, 44699, 44.62
8KMILES, EQ, 10-Jul-2019, 85.35, 85.20, 89.60, 83.35, 87.00, 86.75, 87.53, 274102, 239.91, 3834, 41242, 15.05
A2ZINFRA, EQ, 10-Jul-2019, 10.95, 11.20, 11.20, 10.25, 10.45, 10.45, 10.53, 162506, 17.12, 613, 119110, 73.30
AARON, SM, 10-Jul-2019, 47.90, 46.90, 46.90, 46.90, 46.90, 46.90, 46.90, 3000, 1.41, 1, 3000, 100.00
AARTIDRUGS, EQ, 10-Jul-2019, 524.75, 524.75, 527.90, 515.00, 515.20, 516.90, 518.34, 9599, 49.76, 871, 5676, 59.13
AARTIIND, BE, 10-Jul-2019, 1672.80, 1734.00, 1734.00, 1620.00, 1635.30, 1628.65, 1634.95, 52362, 856.10, 3417, -, -
AARVEEDEN, EQ, 10-Jul-2019, 18.85, 19.90, 19.90, 17.30, 18.45, 18.90, 18.75, 1697, 0.32, 87, 1066, 62.82
AAVAS, EQ, 10-Jul-2019, 1496.65, 1496.00, 1521.80, 1483.55, 1496.20, 1499.65, 1507.87, 48056, 724.62, 2221, 39986, 83.21
ABAN, EQ, 10-Jul-2019, 37.40, 37.55, 39.25, 36.80, 36.90, 37.20, 38.37, 130789, 50.18, 1606, 47668, 36.45
ABB, EQ, 10-Jul-2019, 1531.60, 1524.00, 1549.20, 1486.55, 1525.00, 1514.20, 1518.97, 61995, 941.68, 5468, 10476, 16.90
ABBOTINDIA, EQ, 10-Jul-2019, 8735.40, 8745.00, 8919.90, 8700.00, 8870.05, 8883.80, 8822.69, 1864, 164.45, 484, 1234, 66.20
ABCAPITAL, EQ, 10-Jul-2019, 89.90, 90.00, 91.15, 89.00, 89.55, 89.50, 90.04, 682803, 614.81, 6710, 260973, 38.22
ABFRL, EQ, 10-Jul-2019, 203.30, 204.00, 204.10, 198.10, 199.00, 199.20, 200.02, 334181, 668.42, 7928, 204993, 61.34
ABSLNN50ET, EQ, 10-Jul-2019, 268.00, 268.00, 268.10, 268.00, 268.10, 268.10, 268.07, 900, 2.41, 3, 900, 100.00
ABSLRIF6RG, MF, 10-Jul-2019, 7.10, 7.21, 7.60, 7.10, 7.60, 7.60, 7.11, 60002, 4.27, 12, 60000, 100.00
ACC, EQ, 10-Jul-2019, 1554.30, 1553.90, 1568.40, 1529.70, 1530.25, 1536.05, 1547.80, 591597, 9156.75, 21960, 87063, 14.72
ACCELYA, EQ, 10-Jul-2019, 857.55, 856.60, 865.00, 850.35, 858.50, 861.60, 858.57, 1787, 15.34, 313, 1074, 60.10
ACCURACY, SM, 10-Jul-2019, 48.75, 46.35, 46.35, 46.35, 46.35, 46.35, 46.35, 1600, 0.74, 1, 1600, 100.00
ACE, EQ, 10-Jul-2019, 87.05, 86.50, 90.00, 86.50, 88.35, 88.25, 88.40, 85647, 75.72, 1233, 36944, 43.14
ADANIENT, EQ, 10-Jul-2019, 141.15, 142.00, 142.50, 137.25, 138.95, 139.35, 139.44, 5548654, 7737.23, 26350, 628104, 11.32
ADANIGAS, EQ, 10-Jul-2019, 164.40, 165.15, 166.70, 163.10, 163.10, 163.25, 163.93, 383523, 628.72, 3440, 220908, 57.60
ADANIGREEN, EQ, 10-Jul-2019, 49.60, 50.20, 53.00, 48.10, 48.90, 49.10, 50.01, 3006518, 1503.55, 11346, 861349, 28.65
ADANIPORTS, EQ, 10-Jul-2019, 405.00, 406.95, 408.80, 402.35, 404.40, 405.00, 405.36, 2023029, 8200.49, 33873, 490305, 24.24
ADANIPOWER, EQ, 10-Jul-2019, 67.15, 67.95, 68.25, 62.45, 62.65, 62.95, 64.39, 37061160, 23865.09, 75390, 5492247, 14.82
ADANITRANS, EQ, 10-Jul-2019, 221.80, 223.00, 227.00, 222.90, 226.00, 224.65, 224.96, 73831, 166.09, 3245, 40136, 54.36
ADFFOODS, EQ, 10-Jul-2019, 283.05, 283.50, 288.50, 276.30, 283.90, 282.05, 280.29, 15066, 42.23, 1030, 2876, 19.09
ADHUNIK, EQ, 10-Jul-2019, 1.35, 1.35, 1.40, 1.30, 1.30, 1.30, 1.32, 48036, 0.63, 33, 46631, 97.08
ADHUNIKIND, EQ, 10-Jul-2019, 83.25, 83.50, 85.00, 82.80, 83.75, 83.10, 83.71, 2365, 1.98, 47, 1115, 47.15
ADLABS, EQ, 10-Jul-2019, 5.05, 5.00, 5.05, 4.80, 4.85, 4.85, 4.89, 64596, 3.16, 219, 39529, 61.19
ADORWELD, EQ, 10-Jul-2019, 337.25, 334.00, 336.05, 329.00, 330.00, 331.20, 331.35, 712, 2.36, 99, 414, 58.15
ADROITINFO, EQ, 10-Jul-2019, 10.10, 9.60, 10.60, 9.60, 10.30, 10.30, 10.04, 2739, 0.27, 18, 1232, 44.98
ADSL, EQ, 10-Jul-2019, 13.65, 13.55, 13.85, 13.25, 13.50, 13.45, 13.53, 13193, 1.78, 46, 7643, 57.93
ADVANIHOTR, EQ, 10-Jul-2019, 57.35, 57.50, 58.65, 57.45, 57.65, 57.75, 57.70, 2160, 1.25, 48, 2119, 98.10
ADVENZYMES, EQ, 10-Jul-2019, 163.55, 164.55, 164.55, 156.45, 159.05, 158.95, 160.04, 63640, 101.85, 1764, 35632, 55.99
AEGISCHEM, EQ, 10-Jul-2019, 214.05, 216.00, 218.25, 213.10, 213.30, 214.15, 215.46, 104637, 225.45, 3992, 70612, 67.48
AGARIND, EQ, 10-Jul-2019, 123.25, 120.60, 123.20, 117.40, 119.00, 119.40, 119.58, 4976, 5.95, 91, 3123, 62.76
AGCNET, EQ, 10-Jul-2019, 104.00, 104.55, 109.60, 97.50, 100.70, 105.05, 101.38, 4559, 4.62, 167, 2777, 60.91
AGLSL, EQ, 10-Jul-2019, 54.00, 52.00, 54.85, 52.00, 54.85, 53.35, 52.92, 409, 0.22, 20, 246, 60.15
AGRITECH, EQ, 10-Jul-2019, 54.15, 54.30, 54.95, 52.05, 52.60, 52.95, 53.09, 13129, 6.97, 331, 6209, 47.29
AGROPHOS, BE, 10-Jul-2019, 88.00, 89.50, 92.40, 89.50, 92.00, 92.05, 91.79, 109069, 100.12, 350, -, -
AHLADA, SM, 10-Jul-2019, 73.00, 70.00, 70.00, 70.00, 70.00, 70.00, 70.00, 4000, 2.80, 4, 4000, 100.00
AHLEAST, EQ, 10-Jul-2019, 188.30, 185.15, 194.85, 184.10, 185.00, 187.95, 188.09, 299, 0.56, 66, 262, 87.63
AHLUCONT, EQ, 10-Jul-2019, 330.75, 327.55, 332.00, 327.00, 328.75, 328.05, 330.51, 1103, 3.65, 74, 775, 70.26
AHLWEST, EQ, 10-Jul-2019, 332.10, 330.00, 330.00, 324.00, 324.00, 326.45, 327.67, 29, 0.10, 8, 21, 72.41
AIAENG, EQ, 10-Jul-2019, 1775.30, 1775.30, 1783.95, 1742.05, 1750.00, 1759.90, 1759.09, 10059, 176.95, 2813, 7073, 70.32
AIFL, BZ, 10-Jul-2019, 3.35, 3.20, 3.50, 3.20, 3.20, 3.20, 3.22, 29330, 0.94, 55, -, -
AIONJSW, EQ, 10-Jul-2019, 19.10, 19.00, 19.15, 18.00, 18.20, 18.40, 18.51, 27354, 5.06, 320, 17286, 63.19
AIRAN, EQ, 10-Jul-2019, 22.30, 20.65, 23.00, 20.65, 22.50, 22.50, 22.42, 4799, 1.08, 43, 3999, 83.33
AISL, SM, 10-Jul-2019, 39.00, 39.80, 39.80, 39.80, 39.80, 39.80, 39.80, 1200, 0.48, 1, 1200, 100.00
AJANTPHARM, EQ, 10-Jul-2019, 916.20, 918.75, 922.10, 907.00, 908.60, 910.50, 911.21, 117573, 1071.34, 3139, 59492, 50.60
AJMERA, EQ, 10-Jul-2019, 160.00, 158.25, 162.45, 157.20, 157.30, 157.95, 159.52, 16741, 26.71, 566, 5938, 35.47
AJOONI, SM, 10-Jul-2019, 13.10, 13.75, 13.75, 13.75, 13.75, 13.75, 13.75, 4000, 0.55, 1, 4000, 100.00
AKSHARCHEM, EQ, 10-Jul-2019, 272.85, 274.95, 278.00, 266.00, 266.50, 270.20, 271.90, 768, 2.09, 259, 202, 26.30
AKSHOPTFBR, EQ, 10-Jul-2019, 11.60, 11.90, 11.90, 11.00, 11.30, 11.25, 11.39, 168777, 19.23, 565, 98225, 58.20
AKZOINDIA, EQ, 10-Jul-2019, 1748.00, 1741.00, 1750.45, 1734.95, 1735.00, 1736.10, 1738.75, 594, 10.33, 133, 392, 65.99
ALANKIT, EQ, 10-Jul-2019, 28.85, 28.90, 29.40, 28.20, 28.95, 28.60, 28.67, 443849, 127.24, 2393, 117864, 26.55
ALBERTDAVD, EQ, 10-Jul-2019, 383.95, 382.75, 385.65, 375.65, 380.90, 380.45, 380.12, 2112, 8.03, 145, 1450, 68.66
ALBK, EQ, 10-Jul-2019, 48.35, 48.80, 49.35, 46.80, 47.30, 47.60, 48.34, 3126777, 1511.45, 8910, 442311, 14.15
ALCHEM, BE, 10-Jul-2019, 1.20, 1.15, 1.25, 1.15, 1.20, 1.20, 1.16, 4213, 0.05, 8, -, -
ALEMBICLTD, EQ, 10-Jul-2019, 42.80, 42.95, 43.10, 42.70, 43.00, 43.00, 42.97, 67040, 28.80, 617, 59325, 88.49
ALICON, EQ, 10-Jul-2019, 549.45, 550.00, 550.00, 533.00, 536.05, 534.65, 534.51, 426, 2.28, 47, 217, 50.94
ALKALI, EQ, 10-Jul-2019, 39.65, 40.35, 40.40, 38.10, 38.40, 38.60, 38.94, 3195, 1.24, 119, 2500, 78.25
ALKEM, EQ, 10-Jul-2019, 1772.95, 1765.60, 1795.00, 1735.00, 1764.00, 1776.10, 1780.87, 15202, 270.73, 2654, 5463, 35.94
ALKYLAMINE, EQ, 10-Jul-2019, 820.00, 820.00, 830.50, 801.00, 801.00, 821.00, 822.93, 1519, 12.50, 118, 1266, 83.34
ALLCARGO, EQ, 10-Jul-2019, 97.20, 97.20, 98.40, 95.70, 97.95, 97.70, 97.12, 55060, 53.47, 1072, 27689, 50.29
ALLSEC, EQ, 10-Jul-2019, 304.55, 307.10, 315.00, 296.55, 300.15, 301.00, 311.34, 4600, 14.32, 122, 4141, 90.02
ALMONDZ, EQ, 10-Jul-2019, 16.60, 16.95, 16.95, 16.25, 16.25, 16.55, 16.58, 1191, 0.20, 13, 1099, 92.28
ALOKTEXT, EQ, 10-Jul-2019, 3.25, 3.25, 3.30, 3.10, 3.15, 3.15, 3.18, 4354910, 138.32, 1236, 2621950, 60.21
ALPA, EQ, 10-Jul-2019, 18.00, 18.40, 18.40, 17.65, 17.65, 17.75, 17.88, 11314, 2.02, 97, 8191, 72.40
ALPHAGEO, EQ, 10-Jul-2019, 382.30, 382.00, 385.00, 369.00, 383.00, 377.20, 379.04, 6471, 24.53, 567, 4789, 74.01
ALPSINDUS, BE, 10-Jul-2019, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 14980, 0.12, 5, -, -
AMARAJABAT, EQ, 10-Jul-2019, 644.95, 640.00, 651.40, 638.15, 646.00, 647.55, 646.16, 569964, 3682.88, 13151, 172378, 30.24
AMBER, EQ, 10-Jul-2019, 821.70, 830.25, 835.00, 826.10, 826.10, 828.65, 831.03, 12523, 104.07, 954, 6402, 51.12
AMBIKCO, EQ, 10-Jul-2019, 1046.80, 1046.15, 1052.95, 1034.15, 1050.00, 1049.20, 1042.01, 2886, 30.07, 322, 1924, 66.67
AMBUJACEM, EQ, 10-Jul-2019, 211.10, 211.80, 211.95, 207.90, 209.10, 208.85, 210.04, 1424627, 2992.26, 16238, 322430, 22.63
AMDIND, EQ, 10-Jul-2019, 17.80, 17.20, 17.80, 16.55, 16.80, 17.10, 17.05, 4242, 0.72, 59, 2248, 52.99
AMJLAND, EQ, 10-Jul-2019, 17.20, 17.15, 17.50, 17.00, 17.20, 17.15, 17.26, 1182, 0.20, 49, 645, 54.57
AMRUTANJAN, EQ, 10-Jul-2019, 291.90, 292.65, 297.50, 292.00, 296.50, 295.65, 294.71, 8925, 26.30, 522, 4392, 49.21
ANANTRAJ, EQ, 10-Jul-2019, 29.70, 29.70, 30.30, 29.70, 30.05, 30.05, 30.07, 152339, 45.81, 1150, 81613, 53.57
ANDHRABANK, EQ, 10-Jul-2019, 23.00, 23.05, 23.30, 22.60, 22.60, 22.70, 22.84, 522107, 119.26, 1598, 303982, 58.22
ANDHRACEMT, EQ, 10-Jul-2019, 3.90, 3.85, 4.00, 3.80, 3.85, 3.80, 3.83, 29566, 1.13, 64, 22560, 76.30
ANDHRSUGAR, EQ, 10-Jul-2019, 310.30, 305.20, 314.00, 305.20, 309.10, 310.35, 312.03, 11933, 37.23, 458, 8952, 75.02
ANIKINDS, EQ, 10-Jul-2019, 10.05, 9.45, 10.70, 9.40, 9.70, 9.90, 9.74, 10646, 1.04, 56, 7280, 68.38
ANKITMETAL, BE, 10-Jul-2019, 0.45, 0.45, 0.50, 0.40, 0.40, 0.45, 0.42, 43664, 0.18, 29, -, -
ANSALAPI, EQ, 10-Jul-2019, 5.20, 5.05, 5.25, 5.00, 5.00, 5.05, 5.12, 21444, 1.10, 95, 16099, 75.07
ANSALHSG, EQ, 10-Jul-2019, 5.70, 5.75, 5.80, 5.45, 5.55, 5.50, 5.57, 22916, 1.28, 97, 19492, 85.06
ANTGRAPHIC, BE, 10-Jul-2019, 0.90, 0.85, 0.90, 0.85, 0.90, 0.90, 0.88, 25225, 0.22, 32, -, -
ANUP, EQ, 10-Jul-2019, 474.75, 477.00, 480.05, 472.00, 480.00, 476.95, 478.15, 6816, 32.59, 735, 6012, 88.20
APARINDS, EQ, 10-Jul-2019, 570.40, 565.50, 575.00, 556.60, 570.80, 570.15, 566.36, 4506, 25.52, 1609, 2831, 62.83
APCL, EQ, 10-Jul-2019, 161.65, 163.70, 163.70, 157.55, 161.00, 161.00, 160.04, 707, 1.13, 29, 678, 95.90
APCOTEXIND, EQ, 10-Jul-2019, 217.45, 215.00, 217.00, 209.00, 212.05, 213.10, 213.90, 6619, 14.16, 293, 4677, 70.66
APEX, EQ, 10-Jul-2019, 252.20, 255.00, 273.65, 252.05, 253.00, 253.45, 257.94, 48501, 125.10, 2492, 10339, 21.32
APLAPOLLO, EQ, 10-Jul-2019, 1597.95, 1571.05, 1609.25, 1570.10, 1589.80, 1589.20, 1589.69, 34977, 556.03, 1327, 27122, 77.54
APLLTD, EQ, 10-Jul-2019, 532.15, 526.30, 551.90, 516.30, 522.45, 524.25, 540.00, 74444, 402.00, 3482, 30650, 41.17
APOLLO, EQ, 10-Jul-2019, 114.30, 116.00, 116.00, 114.10, 115.00, 114.70, 114.78, 7342, 8.43, 325, 4333, 59.02
APOLLOHOSP, EQ, 10-Jul-2019, 1328.65, 1327.95, 1337.55, 1313.05, 1318.20, 1318.15, 1323.24, 440764, 5832.38, 26770, 222143, 50.40
APOLLOTYRE, EQ, 10-Jul-2019, 186.35, 187.05, 188.50, 185.60, 186.25, 187.00, 187.00, 996851, 1864.16, 10270, 146520, 14.70
APOLSINHOT, EQ, 10-Jul-2019, 884.00, 890.00, 890.00, 857.05, 880.00, 879.25, 874.92, 4997, 43.72, 176, 4330, 86.65
APTECHT, EQ, 10-Jul-2019, 140.50, 140.50, 141.35, 136.50, 136.90, 137.60, 138.29, 100955, 139.61, 2901, 24621, 24.39
ARCHIDPLY, EQ, 10-Jul-2019, 30.35, 30.10, 30.95, 29.70, 30.00, 30.05, 30.10, 3541, 1.07, 112, 2809, 79.33
ARCHIES, EQ, 10-Jul-2019, 20.20, 20.10, 20.30, 19.50, 19.80, 19.95, 20.01, 9571, 1.91, 130, 6827, 71.33
ARCOTECH, EQ, 10-Jul-2019, 2.90, 3.00, 3.00, 2.80, 2.90, 2.80, 2.87, 21537, 0.62, 37, 14970, 69.51
ARIES, EQ, 10-Jul-2019, 61.05, 62.75, 62.80, 59.00, 59.15, 59.15, 59.98, 10791, 6.47, 211, 8170, 75.71
ARIHANT, EQ, 10-Jul-2019, 22.25, 22.25, 23.40, 21.55, 22.85, 22.85, 22.39, 984, 0.22, 20, 558, 56.71
ARIHANTSUP, EQ, 10-Jul-2019, 48.30, 46.05, 50.70, 45.90, 46.00, 45.95, 48.99, 143813, 70.45, 576, 133995, 93.17
ARMANFIN, EQ, 10-Jul-2019, 413.90, 420.00, 420.00, 409.35, 411.00, 411.25, 410.98, 1800, 7.40, 38, 1239, 68.83
AROGRANITE, EQ, 10-Jul-2019, 43.90, 43.90, 44.20, 42.40, 43.20, 43.20, 43.12, 10029, 4.32, 121, 9790, 97.62
ARROWGREEN, BE, 10-Jul-2019, 78.00, 74.10, 74.10, 74.10, 74.10, 74.10, 74.10, 441, 0.33, 18, -, -
ARROWTEX, EQ, 10-Jul-2019, 11.85, 12.25, 12.25, 11.60, 12.00, 12.00, 11.78, 727, 0.09, 18, 608, 83.63
ARSHIYA, EQ, 10-Jul-2019, 15.20, 14.90, 16.70, 14.65, 16.50, 15.90, 15.24, 156632, 23.88, 198, 148801, 95.00
ARSSINFRA, EQ, 10-Jul-2019, 36.40, 35.50, 37.80, 35.50, 36.95, 36.00, 36.40, 3954, 1.44, 48, 2869, 72.56
ARVIND, EQ, 10-Jul-2019, 63.20, 63.15, 63.85, 57.90, 58.95, 59.40, 59.41, 10006043, 5945.06, 40575, 1559001, 15.58
ARVINDFASN, EQ, 10-Jul-2019, 676.30, 694.00, 694.00, 660.05, 665.00, 668.05, 667.50, 140630, 938.71, 4103, 129532, 92.11
ARVSMART, EQ, 10-Jul-2019, 98.05, 95.60, 100.90, 95.60, 100.90, 100.25, 99.22, 12121, 12.03, 550, 7794, 64.30
ASAHIINDIA, EQ, 10-Jul-2019, 210.05, 209.10, 211.20, 206.25, 208.50, 208.85, 207.72, 17597, 36.55, 409, 11574, 65.77
ASAHISONG, EQ, 10-Jul-2019, 140.80, 142.05, 142.20, 129.10, 131.00, 130.95, 132.41, 5451, 7.22, 429, 3739, 68.59
ASAL, EQ, 10-Jul-2019, 42.75, 44.25, 44.90, 43.35, 44.75, 44.65, 44.35, 4656, 2.07, 79, 4069, 87.39
ASHAPURMIN, EQ, 10-Jul-2019, 18.25, 18.70, 18.70, 17.70, 17.70, 18.00, 18.31, 14540, 2.66, 119, 10824, 74.44
ASHIANA, EQ, 10-Jul-2019, 115.80, 115.80, 116.95, 115.20, 116.00, 116.25, 116.02, 68770, 79.79, 4215, 59871, 87.06
ASHIMASYN, EQ, 10-Jul-2019, 9.40, 9.05, 9.90, 9.05, 9.70, 9.65, 9.60, 29447, 2.83, 128, 19542, 66.36
ASHOKA, EQ, 10-Jul-2019, 134.80, 134.90, 136.50, 132.50, 132.95, 133.20, 134.40, 72843, 97.90, 2544, 36819, 50.55
ASHOKLEY, EQ, 10-Jul-2019, 83.80, 84.00, 85.65, 83.55, 84.70, 84.80, 84.38, 14004112, 11816.37, 50358, 2441491, 17.43
ASIANHOTNR, EQ, 10-Jul-2019, 125.90, 121.05, 127.05, 121.05, 125.45, 125.20, 124.46, 331, 0.41, 163, 19, 5.74
ASIANPAINT, EQ, 10-Jul-2019, 1321.00, 1317.80, 1340.35, 1312.05, 1322.00, 1322.95, 1326.54, 1115080, 14791.96, 52209, 415355, 37.25
ASIANTILES, EQ, 10-Jul-2019, 220.85, 222.95, 224.15, 214.10, 214.10, 215.00, 219.94, 160888, 353.85, 4321, 16336, 10.15
ASPINWALL, EQ, 10-Jul-2019, 143.55, 136.20, 145.00, 136.20, 143.00, 143.00, 144.08, 411, 0.59, 34, 388, 94.40
ASSAMCO, BE, 10-Jul-2019, 1.45, 1.40, 1.45, 1.40, 1.40, 1.40, 1.41, 19554, 0.28, 31, -, -
ASTEC, EQ, 10-Jul-2019, 429.05, 429.95, 432.80, 416.00, 420.30, 419.90, 424.54, 3830, 16.26, 496, 2453, 64.05
ASTERDM, EQ, 10-Jul-2019, 115.40, 115.55, 118.50, 115.40, 117.35, 117.15, 117.60, 339022, 398.70, 2033, 278149, 82.04
ASTRAL, EQ, 10-Jul-2019, 1292.35, 1294.95, 1334.20, 1288.40, 1320.00, 1319.65, 1321.36, 24256, 320.51, 2746, 10485, 43.23
ASTRAMICRO, EQ, 10-Jul-2019, 82.40, 82.40, 83.00, 80.65, 81.55, 81.55, 81.58, 51692, 42.17, 714, 23482, 45.43
ASTRAZEN, EQ, 10-Jul-2019, 1999.85, 1989.20, 2052.50, 1985.05, 2020.00, 2013.10, 2013.41, 7243, 145.83, 1023, 2473, 34.14
ASTRON, EQ, 10-Jul-2019, 108.40, 108.50, 110.00, 103.75, 108.00, 107.55, 106.78, 181592, 193.90, 1694, 99192, 54.62
ATFL, EQ, 10-Jul-2019, 499.25, 496.50, 500.50, 495.00, 495.00, 495.25, 495.47, 5344, 26.48, 227, 4462, 83.50
ATLANTA, EQ, 10-Jul-2019, 9.15, 9.10, 9.35, 9.10, 9.30, 9.20, 9.27, 15274, 1.42, 240, 7695, 50.38
ATLASCYCLE, BE, 10-Jul-2019, 35.00, 33.50, 36.75, 33.50, 36.15, 36.70, 36.01, 3465, 1.25, 59, -, -
ATNINTER, BE, 10-Jul-2019, 0.05, 0.10, 0.10, 0.05, 0.05, 0.05, 0.10, 5211, 0.01, 49, -, -
ATUL, EQ, 10-Jul-2019, 3901.10, 3899.95, 3929.35, 3761.00, 3765.55, 3785.80, 3822.39, 25755, 984.46, 11926, 18445, 71.62
ATULAUTO, EQ, 10-Jul-2019, 272.20, 271.70, 278.00, 271.10, 278.00, 273.85, 273.46, 5349, 14.63, 403, 3909, 73.08
AUBANK, EQ, 10-Jul-2019, 663.80, 665.00, 678.95, 646.60, 660.00, 656.65, 651.46, 377350, 2458.27, 10544, 315544, 83.62
AURIONPRO, EQ, 10-Jul-2019, 103.85, 104.05, 106.35, 102.50, 102.50, 102.80, 103.11, 11013, 11.36, 225, 9046, 82.14
AUROPHARMA, EQ, 10-Jul-2019, 603.80, 606.40, 607.00, 589.35, 595.30, 597.10, 598.65, 2423999, 14511.27, 66333, 662137, 27.32
AUSOMENT, EQ, 10-Jul-2019, 34.25, 35.00, 35.00, 33.10, 35.00, 35.00, 34.74, 836, 0.29, 33, 820, 98.09
AUTOAXLES, EQ, 10-Jul-2019, 1020.80, 1016.65, 1019.20, 995.00, 1000.00, 998.75, 1005.67, 4527, 45.53, 513, 2775, 61.30
AUTOIND, EQ, 10-Jul-2019, 50.25, 53.45, 55.90, 51.10, 51.50, 51.65, 52.99, 122562, 64.95, 1355, 37090, 30.26
AUTOLITIND, BZ, 10-Jul-2019, 26.50, 25.20, 26.95, 25.20, 26.95, 26.95, 26.88, 510, 0.14, 4, -, -
AVADHSUGAR, EQ, 10-Jul-2019, 303.30, 303.10, 308.95, 287.50, 290.35, 289.50, 294.80, 37161, 109.55, 1650, 16825, 45.28
AVANTIFEED, EQ, 10-Jul-2019, 338.30, 338.40, 351.00, 338.30, 341.80, 341.30, 343.87, 227656, 782.84, 6275, 58064, 25.51
AVTNPL, EQ, 10-Jul-2019, 24.20, 23.40, 24.50, 22.65, 22.95, 23.00, 23.29, 48126, 11.21, 363, 40042, 83.20
AXISBANK, EQ, 10-Jul-2019, 786.20, 786.65, 790.00, 764.55, 768.00, 769.25, 774.27, 5814417, 45019.09, 109665, 2323195, 39.96
AXISCADES, EQ, 10-Jul-2019, 62.40, 63.90, 63.95, 54.65, 57.40, 58.40, 61.32, 521139, 319.55, 3663, 131343, 25.20
AXISGOLD, EQ, 10-Jul-2019, 2975.20, 3018.00, 3025.00, 2981.05, 2988.60, 2999.10, 3004.62, 103, 3.09, 58, 50, 48.54
AXISNIFTY, EQ, 10-Jul-2019, 1189.48, 1190.99, 1190.99, 1181.01, 1181.67, 1181.67, 1183.95, 71, 0.84, 10, 66, 92.96
AYMSYNTEX, EQ, 10-Jul-2019, 34.10, 34.10, 36.35, 34.10, 35.00, 35.45, 35.35, 4730, 1.67, 74, 3235, 68.39
BABAFOOD, SM, 10-Jul-2019, 64.70, 64.70, 64.70, 64.70, 64.70, 64.70, 64.70, 2000, 1.29, 1, 2000, 100.00
BAFNAPHARM, BE, 10-Jul-2019, 5.60, 5.40, 5.75, 5.35, 5.75, 5.65, 5.43, 13310, 0.72, 28, -, -
BAGFILMS, EQ, 10-Jul-2019, 3.35, 3.35, 3.40, 3.20, 3.25, 3.30, 3.30, 43384, 1.43, 117, 37402, 86.21
BAJAJ-AUTO, EQ, 10-Jul-2019, 2786.40, 2790.00, 2793.95, 2720.55, 2738.95, 2740.40, 2746.64, 378373, 10392.55, 28934, 123397, 32.61
BAJAJCON, EQ, 10-Jul-2019, 319.85, 318.05, 321.10, 315.15, 318.80, 318.10, 317.62, 23177, 73.62, 1175, 15203, 65.60
BAJAJELEC, EQ, 10-Jul-2019, 481.65, 482.95, 486.80, 453.50, 457.95, 457.75, 468.06, 139779, 654.25, 6340, 59962, 42.90
BAJAJFINSV, EQ, 10-Jul-2019, 7855.40, 7819.90, 7907.20, 7602.65, 7611.90, 7658.20, 7799.09, 506277, 39485.00, 73955, 106672, 21.07
BAJAJHIND, EQ, 10-Jul-2019, 7.25, 7.25, 7.35, 7.15, 7.20, 7.20, 7.23, 640393, 46.30, 944, 336204, 52.50
BAJAJHLDNG, EQ, 10-Jul-2019, 3618.85, 3617.70, 3630.00, 3558.10, 3580.95, 3580.90, 3600.27, 19690, 708.89, 3370, 7824, 39.74
BAJFINANCE, EQ, 10-Jul-2019, 3603.10, 3599.95, 3599.95, 3412.00, 3419.00, 3429.05, 3509.54, 2909584, 102112.90, 143964, 679249, 23.35
BALAJITELE, EQ, 10-Jul-2019, 53.05, 53.20, 54.00, 52.05, 54.00, 53.25, 52.67, 20398, 10.74, 311, 14206, 69.64
BALAMINES, EQ, 10-Jul-2019, 349.85, 350.00, 354.00, 347.15, 347.30, 348.65, 350.92, 7022, 24.64, 631, 4340, 61.81
BALAXI, BE, 10-Jul-2019, 65.85, 69.10, 69.10, 69.10, 69.10, 69.10, 69.10, 222, 0.15, 6, -, -
BALKRISHNA, EQ, 10-Jul-2019, 28.50, 28.05, 28.15, 26.00, 26.90, 26.30, 26.95, 9710, 2.62, 154, 4843, 49.88
BALKRISIND, EQ, 10-Jul-2019, 726.60, 729.00, 736.55, 708.05, 720.00, 720.70, 723.30, 490077, 3544.71, 19543, 99196, 20.24
BALLARPUR, EQ, 10-Jul-2019, 1.65, 1.70, 1.70, 1.55, 1.60, 1.60, 1.59, 398851, 6.35, 425, 246280, 61.75
