Date,Open,High,Low,Close,Adj Close,Volume
2018-07-16,168.149994,168.470001,167.380005,167.639999,164.757034,1522800
2018-07-17,167.080002,168.949997,167.000000,168.070007,165.179642,2315300
2018-07-18,167.470001,167.470001,165.970001,166.380005,163.518707,2206500
2018-07-19,166.210007,167.270004,165.509995,166.889999,164.019928,2055100
2018-07-20,166.589996,166.990005,166.320007,166.520004,163.656296,1110200
2018-07-23,165.929993,166.449997,165.509995,165.960007,163.105942,1783300
2018-07-24,166.330002,166.520004,164.309998,165.169998,162.329514,2545500
2018-07-25,165.000000,167.119995,165.000000,167.080002,164.206665,2285200
2018-07-26,167.399994,168.110001,165.059998,165.169998,162.329514,2228000
2018-07-27,165.360001,165.750000,161.110001,162.020004,159.233688,2704000
2018-07-30,162.240005,162.419998,158.080002,159.419998,156.678406,2553200
2018-07-31,160.300003,161.300003,158.889999,159.330002,156.589951,2722700
2018-08-01,160.309998,161.389999,159.089996,159.710007,156.963425,2060600
2018-08-02,158.300003,160.300003,157.839996,160.149994,157.395844,1774700
2018-08-03,160.490005,160.940002,158.960007,160.369995,157.612045,1478500
2018-08-06,160.270004,161.009995,159.580002,160.580002,157.818451,1135800
2018-08-07,161.179993,161.910004,161.000000,161.199997,158.427780,1415700
2018-08-08,161.100006,161.649994,160.899994,161.139999,158.368820,1123400
2018-08-09,161.130005,161.740005,160.539993,160.639999,157.877411,1722100
2018-08-10,160.050003,161.470001,159.880005,160.679993,157.916718,1354200
2018-08-13,160.729996,161.899994,160.050003,160.229996,157.474472,1590100
2018-08-14,160.089996,161.630005,159.889999,161.240005,158.467102,2083200
2018-08-15,160.559998,161.440002,159.759995,160.410004,157.651382,1669400
2018-08-16,161.800003,163.250000,161.509995,162.889999,160.088730,1957000
2018-08-17,163.470001,165.169998,163.059998,164.889999,162.054321,2717500
2018-08-20,165.339996,165.639999,164.800003,165.119995,162.280365,1285800
2018-08-21,165.500000,165.899994,164.520004,164.610001,161.779144,1291600
2018-08-22,164.690002,165.860001,164.339996,164.919998,162.083817,1184400
2018-08-23,164.979996,166.479996,164.979996,165.199997,162.358994,1299200
2018-08-24,165.910004,166.789993,165.009995,165.880005,163.027313,1768200
